[ 2013-04-22T16:21:50+08:00 ] /admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:21:50+08:00 ] /admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000776s ]
[ 2013-04-22T16:21:50+08:00 ] /admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000937s ]
[ 2013-04-22T16:25:05+08:00 ] /admin.php/Index/index | ERR: (ThinkException) 模板不存在[./Admin/Tpl/Index/index.html]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003280s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003461s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000656s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000789s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000685s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000904s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012799s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012949s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000488s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000699s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000308s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000965s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002827s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000577s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000732s ]
[ 2013-04-22T16:25:59+08:00 ] /admin.php/Index/js/jquery-1.7.2.min.js | ERR: (ThinkException) 非法操作js
