[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000977s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001149s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001070s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000688s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000848s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010630s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010845s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000671s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001446s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000422s ]
[ 2013-05-02T15:48:14+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000868s ]
