[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001273s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001381s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000769s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000847s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001009s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001107s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.011220s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011312s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000706s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000708s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000502s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000780s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002912s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000639s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000732s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001281s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001419s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001309s ]
[ 2014-08-12T01:33:06+08:00 ] /wenda/Admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001408s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Run CheckRoute Behavior [ RunTime:0.000959s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Tag[ route_check ] --END-- [ RunTime:0.001062s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000779s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000859s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.003773s ]
[ 2014-08-12T01:33:15+08:00 ] /wenda/Admin.php/Login/checkAccount | SQL: SELECT COUNT(id) AS tp_count FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.000281s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Run CheckRoute Behavior [ RunTime:0.001111s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.001232s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000901s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000988s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.003340s ]
[ 2014-08-12T01:33:23+08:00 ] /wenda/Admin.php/Login/checkPwd | SQL: SELECT `password` FROM `hd_admin` WHERE ( `account` = 'admin' ) LIMIT 1   [ RunTime:0.000234s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Run CheckRoute Behavior [ RunTime:0.001074s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001227s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000812s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Login/checkVerify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000898s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000771s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000879s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001040s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001134s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.020266s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020416s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001423s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000943s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000664s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001729s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005167s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001527s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001653s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001546s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001691s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003075s ]
[ 2014-08-12T01:33:30+08:00 ] /wenda/Admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003328s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.001345s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001494s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001359s ]
[ 2014-08-12T01:33:32+08:00 ] /wenda/Admin.php/Ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001483s ]
[ 2014-08-12T01:33:33+08:00 ] /wenda/Admin.php/Ask/index | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.003096s ]
