[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ route_check ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001779s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001970s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000703s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000842s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000427s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000559s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000996s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000335s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.001853s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000337s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | NOTIC: [2] Division by zero 229e9d4d2dc754066c0aabe38533f7b2.php 第 152 行.
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.042383s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042531s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000512s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000524s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000279s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001974s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003781s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000705s ]
[ 2013-05-03T10:02:22+08:00 ] /index.php/Member/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000846s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000968s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001124s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000665s ]
[ 2013-05-03T10:02:23+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000813s ]
