[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001145s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001815s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.010592s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.003027s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '1' )  [ RunTime:0.000821s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '2' )  [ RunTime:0.000283s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '3' )  [ RunTime:0.000287s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '4' )  [ RunTime:0.000285s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '5' )  [ RunTime:0.000277s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '6' )  [ RunTime:0.000215s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '7' )  [ RunTime:0.000248s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '8' )  [ RunTime:0.000251s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '9' )  [ RunTime:0.000255s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '10' )  [ RunTime:0.000235s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '11' )  [ RunTime:0.000281s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '12' )  [ RunTime:0.000276s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '13' )  [ RunTime:0.000227s ]
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000474s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002010s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002177s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\Index\Lib\TagLib\TagLibHd.class.php on line 32 and defined TagLib.class.php 第 111 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-05-06T09:08:43+08:00 ] / | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2013-05-06T09:08:43+08:00 ] / | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000426s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.074842s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.074997s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001360s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001031s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000893s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001113s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004782s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000845s ]
[ 2013-05-06T09:08:43+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000976s ]
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.004122s ]
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004284s ]
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000733s ]
[ 2013-05-06T09:08:43+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000863s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ route_check ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.000915s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001073s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ app_begin ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000660s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000800s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001804s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 1 )  [ RunTime:0.000884s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.006251s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('15','16','17','18','19','20','21','22','23',1) ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.002399s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('15','16','17','18','19','20','21','22','23',1) ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.002128s ]
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2013-05-06T09:09:30+08:00 ] /index.php/List/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000630s ]
