[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000901s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001013s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.004356s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000365s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '1' )  [ RunTime:0.000277s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '2' )  [ RunTime:0.000284s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '3' )  [ RunTime:0.000301s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '4' )  [ RunTime:0.000979s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '5' )  [ RunTime:0.000789s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '11' )  [ RunTime:0.000300s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '12' )  [ RunTime:0.000253s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '13' )  [ RunTime:0.000354s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000284s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.000305s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '16' )  [ RunTime:0.000807s ]
[ 2014-08-11T19:41:34+08:00 ] /wenda11/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.001025s ]
