[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002874s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003166s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.005726s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` = 0 ) LIMIT 15   [ RunTime:0.000372s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` > 0 ) LIMIT 15   [ RunTime:0.000272s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002954s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003155s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in C:\wamp\www\wenda\Index\Lib\TagLib\TagLibHd.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in C:\wamp\www\wenda\Index\Lib\TagLib\TagLibHd.class.php on line 33 and defined TagLib.class.php 第 111 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.013222s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000759s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 1 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 2 f9c22b8b40e560036663a0ce7ed378ae.php 第 159 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT `u`.`id` AS `id`, `username`, `face`, `exp`, `answer`, `u`.`adopt` AS `adopt` FROM `hd_answer` `a` LEFT JOIN `hd_user` `u` ON `a`.`uid` = `u`.`id` WHERE `time` > 1407772800 GROUP BY `username` ORDER BY `answer` DESC LIMIT 1 [ RunTime:0.021344s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 0 f9c22b8b40e560036663a0ce7ed378ae.php 第 258 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 261 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: face f9c22b8b40e560036663a0ce7ed378ae.php 第 261 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 263 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: username f9c22b8b40e560036663a0ce7ed378ae.php 第 263 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 268 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: adopt f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 269 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT `u`.`id` AS `id`, `username`, `face`, `exp`, `answer`, `u`.`adopt` AS `adopt` FROM `hd_answer` `a` LEFT JOIN `hd_user` `u` ON `a`.`uid` = `u`.`id` WHERE `time` > 1407772800 GROUP BY `username` ORDER BY `answer` DESC LIMIT 1 [ RunTime:0.000214s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined offset: 0 f9c22b8b40e560036663a0ce7ed378ae.php 第 274 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 277 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: face f9c22b8b40e560036663a0ce7ed378ae.php 第 277 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: id f9c22b8b40e560036663a0ce7ed378ae.php 第 279 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: username f9c22b8b40e560036663a0ce7ed378ae.php 第 279 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 284 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: adopt f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [8] Undefined index: answer f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | NOTIC: [2] Division by zero f9c22b8b40e560036663a0ce7ed378ae.php 第 285 行.
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | SQL: SELECT `id`, `username`, `answer` FROM `hd_user` GROUP BY `username` ORDER BY `answer` DESC LIMIT 10 [ RunTime:0.000199s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run ParseTemplate Behavior [ RunTime:0.096952s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.097035s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_filter ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run ContentReplace Behavior [ RunTime:0.001006s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run TokenBuild Behavior [ RunTime:0.000762s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000614s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000907s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003512s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_end ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000829s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000911s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001822s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001967s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000919s ]
[ 2014-08-12T01:29:12+08:00 ] /wenda/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001015s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001830s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001954s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006527s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006627s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.008919s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000296s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001764s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001942s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001298s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001438s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003695s ]
[ 2014-08-12T01:29:34+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000270s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001028s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001130s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000791s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000873s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003248s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000376s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001013s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001127s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000759s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000838s ]
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:29:45+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002935s ]
